"Xloc","Yloc","Zn"
2.386,3.077,92.56
2.544,1.972,73.56
2.807,3.347,64.8
4.308,1.933,90
4.383,1.081,88.4
3.244,4.519,75.2
3.925,3.785,72.4
2.116,3.498,72.08
1.842,0.989,56.4
1.709,1.843,75.6
3.8,4.578,143.2
2.699,1.199,66.8
3.033,4.384,37.88
4.232,1.588,47.6
4.75,1.369,70.8
2.341,4.135,46.8
2.827,3.667,25.2
3.043,4.692,31.32
1.687,1.174,39.56
2.235,2.386,114.28
3.122,1.695,120.28
2.219,2.774,71.76
3.185,2.092,90.68
3.514,5.119,145.6
4.459,2.624,82.8
4.339,1.473,86
4.92,1.417,66.4
3.648,3.78,78
2.916,4.916,46.8
3.127,1.691,123.84
3.441,4.719,151.6
3.336,4.613,81.6
3.649,2.674,58
3.875,4.924,141.6
2.612,4.114,47.6
2.34,4.141,53.2
3.811,1.318,80.8
3.661,3.788,76.4
4.34,3.736,80.8
2.972,0.988,219.32
2.286,3.068,67.16
1.813,2.116,110
3.379,4.308,83.6
1.965,2.807,102.44
3.559,4.009,101.6
2.267,4.189,57.2
2.965,1.002,149.2
3.12,1.469,50.4
3.454,4.654,70.8
1.071,1.567,65.6
3.573,3.542,76
3.331,4.609,101.6
3.541,1.739,59.36
3.303,3.963,90
3.316,2.987,83.2
1.879,1.171,44.4
1.122,2.267,74.4
4.423,1.078,87.6
1.241,1.155,39.6
1.706,1.848,83.2
3.26,5.42,82.4
4.081,0.897,50.4
3.077,2.926,64.8
3.406,4.741,120.8
3.699,3.8,74
1.619,2.883,58.8
3.196,1.814,92.36
3.447,4.733,108
3.009,4.738,39.4
3.452,4.736,148.4
2.908,1.263,84.32
4.578,1.512,77.6
3.512,5.124,136.8
3.312,2.991,72.8
2.159,2.041,81.6
4.742,1.381,63.6
3.592,4.027,74.4
3.152,3.272,94
4.781,1.375,58.8
2.319,2.405,125.4
3.617,2.084,79.6
2.278,0.929,46.8
3.792,2.695,52.4
4.113,2.7,65.2
3.043,4.698,39.8
3.271,2.16,104.36
1.433,1.525,75.2
3.184,2.098,96.6
3.675,4.293,66
3.681,5.69,86
2.461,3.423,47.2
4.576,1.411,71.6
2.223,0.58,76
3.031,1.201,51.24
3.347,2.505,43.6
2.465,4.003,35.08
3.175,2.102,89.84
3.733,0.974,74
3.085,1.677,107.2
2.595,3.638,40.8
4.279,3.283,84.4
2.933,0.978,100.4
3.59,4.033,79.6
2.883,1.237,96.96
2.429,1.62,126.8
2.333,2.417,110.32
0.626,1.652,46.4
2.969,0.778,166.28
0.971,1.576,64
1.392,1.846,48.4
2.54,3.32,62.8
1.738,1.771,76
2.243,3.031,59.88
3.656,2.63,49.2
2.325,4.143,54.4
4.55,1.416,73.6
4.325,1.436,57.2
3.669,4.291,59.6
1.877,1.186,39.88
3.044,1.123,80.76
3.001,2.581,81.72
3.136,2.091,79
2.633,3.65,61.6
3.721,4.239,46.4
2.333,2.367,135.88
4.038,2.354,65.6
3.117,1.702,106.36
1.824,0.999,44
2.85,1.89,28.88
2.502,3.988,32.24
1.443,1.509,75.6
2.008,1.35,50.4
2.978,4.009,49.2
1.662,1.425,78.4
1.587,1.08,54
3.994,3.814,84
4.383,2.279,60.8
2.901,4.919,42
4.156,1.242,44
4.475,3.526,70.8
2.58,3.654,33.44
0.701,1.997,86
3.649,3.887,80.8
2.623,0.853,106.4
1.315,1.975,89.6
3.656,2.67,65.2
4.426,0.821,61.6
2.882,3.693,32.92
1.108,1.535,108
4.84,1.089,64.8
1.468,2.192,80.4
2.319,4.103,50.4
3.585,4.04,99.2
3.647,3.786,90.8
2.31,2.732,79.04
3.962,2.009,104.4
3.47,5.555,64
1.839,0.995,56
1.706,1.165,62.4
2.774,1.544,90.24
3.493,5.092,134.4
1.695,3.227,97.48
4.409,1.084,89.2
2.596,3.212,118.24
1.897,1.22,27.2
2.083,1.695,54.8
3.673,4.278,70.4
2.731,3.002,57.96
4.264,3.391,132.8
3.792,2.707,55.2
3.39,1.048,123.32
3.184,5.075,53.6
3.644,2.677,56.4
3.504,5.13,135.6
2.242,3.036,56.72
3.332,4.628,83.2
3.498,3.196,65.6
1.883,1.176,43.2
3.322,3.001,81.2
1.047,1.922,83.2
3.843,3.121,86
1.301,0.599,75.2
1.106,1.548,65.2
1.114,1.535,140.4
1.511,0.734,71.2
1.317,1.501,94.8
1.439,1.523,75.6
1.651,1.157,49.6
1.701,1.169,45.6
1.857,0.659,124.8
1.346,1.954,69.2
1.354,1.966,59.6
1.35,1.97,102
1.932,1.004,32.56
1.837,1.037,44
1.69,1.858,91.6
1.72,1.833,76.8
1.543,2.537,104
2.353,1.274,37.88
1.889,2.462,78.4
2.327,2.417,123
2.504,1.965,80.32
2.599,1.996,133.88
2.561,1.984,77.4
2.898,1.274,99.6
2.902,1.263,101.68
3.085,1.214,86.2
3.046,1.205,44
3.025,1.201,43.72
2.04,3.153,51.24
2.234,2.737,71.12
2.22,2.732,62.28
2.224,2.728,85.52
2.58,2.311,77.56
2.254,3.045,66.92
2.656,2.656,91.48
3.465,1.393,96.6
2.553,3.314,60.12
2.538,3.314,81.6
2.402,3.979,43.2
2.456,3.99,37.16
2.537,3.768,32.08
2.584,3.649,44.8
3.887,1.663,85.6
4.412,1.088,80.8
2.795,3.645,27.12
2.837,3.679,31.48
2.832,3.676,28.92
3.308,2.963,78.4
3.422,2.851,94.8
3.692,2.43,31.16
4.331,1.449,61.2
4.333,1.455,67.6
4.502,1.167,61.6
3.228,3.617,90
3.768,2.775,45.2
3.768,2.675,56.8
3.798,2.694,54
4.59,1.414,64.8
4.571,1.407,70.8
4.745,1.372,66.4
4.788,1.647,63.2
2.974,4.937,77.6
2.906,4.922,32.84
3.109,4.729,42.4
3.04,4.713,36.64
3.919,3.466,58.8
4.189,3.045,90.4
3.652,4.312,98
3.894,3.805,79.2
3.917,3.773,71.6
3.925,3.779,59.6
4.252,3.292,74
4.292,3.29,110.8
4.283,3.278,90
3.53,4.999,56.8
4.07,4.157,90.8
4.61,3.315,46.8
3.605,5.345,58
